calculation_month,calculation_date,tax_payment_date,monthly_realized_pnl,monthly_sales_value,monthly_transaction_cost,monthly_tax_base,loss_used,taxable_profit,tax_due,accumulated_loss_after
2020-01,2020-01-31,2020-02-28,0.013878255374777515,0.51492494048447,0.0,0.013878255374777515,0.0,0.013878255374777515,0.0020817383062166272,0.0
2020-02,2020-02-28,2020-03-31,-0.013936088773556008,0.10741778859685011,0.0,-0.013936088773556008,0.0,0.0,0.0,0.013936088773556008
2020-03,2020-03-31,2020-04-30,-0.04317778000944393,0.419535693590044,0.0,-0.04317778000944393,0.0,0.0,0.0,0.05711386878299994
2020-04,2020-04-30,2020-05-29,-0.04109994764416382,0.21771033840755477,0.0,-0.04109994764416382,0.0,0.0,0.0,0.09821381642716376
2020-05,2020-05-29,2020-06-30,0.001588763337223696,0.09076789152798852,0.0,0.001588763337223696,0.001588763337223696,0.0,0.0,0.09662505308994006
2020-06,2020-06-30,2020-07-31,0.010465690790908455,0.10726745181610493,0.0,0.010465690790908455,0.010465690790908455,0.0,0.0,0.08615936229903161
2020-07,2020-07-31,2020-08-31,0.038981425575985794,0.0661956286269142,0.0,0.038981425575985794,0.038981425575985794,0.0,0.0,0.047177936723045814
2020-08,2020-08-31,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047177936723045814
2020-09,2020-09-30,2020-10-30,0.015313599690398694,0.08853091033323832,0.0,0.015313599690398694,0.015313599690398694,0.0,0.0,0.03186433703264712
2020-10,2020-10-30,2020-11-30,0.0016047673702321297,0.16282536603285408,0.0,0.0016047673702321297,0.0016047673702321297,0.0,0.0,0.03025956966241499
2020-11,2020-11-30,2020-12-30,-0.000617781813127819,0.18393594653881123,0.0,-0.000617781813127819,0.0,0.0,0.0,0.03087735147554281
2020-12,2020-12-30,2021-01-29,0.0027554452632951097,0.1387123189673629,0.0,0.0027554452632951097,0.0027554452632951097,0.0,0.0,0.0281219062122477
