company,strategy_total_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,strategy_hit_ratio,strategy_observations,benchmark_50_50_total_return,benchmark_50_50_annualized_return,benchmark_50_50_annualized_volatility,benchmark_50_50_sharpe_ratio,benchmark_50_50_max_drawdown,benchmark_50_50_hit_ratio,benchmark_50_50_observations,ibovespa_total_return,ibovespa_annualized_return,ibovespa_annualized_volatility,ibovespa_sharpe_ratio,ibovespa_max_drawdown,ibovespa_hit_ratio,ibovespa_observations,strategy_final_value,benchmark_50_50_final_value,ibovespa_final_value,strategy_final_cumulative_return,benchmark_50_50_final_cumulative_return,ibovespa_final_cumulative_return,strategy_excess_return_vs_50_50,strategy_excess_return_vs_ibovespa,benchmark_50_50_excess_return_vs_ibovespa,total_tax_paid,total_transaction_cost,total_realized_pnl,gross_sale_value,gross_buy_value,number_of_trading_days,number_of_trade_days,final_weight_on,final_weight_pn,final_target_weight_on,final_target_weight_pn,policy_group,last_signal,final_accumulated_loss
BTG,5.91360797219698,0.3855970362852361,0.4442009268530428,0.8680689592815846,-0.48722895723002346,0.4902880107166778,1494,2.3322514059409465,0.2251030869976638,0.4131675023562901,0.5448228278214118,-0.54559100962506,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,6.906701270926053,3.3322514059409465,1.358867533080887,5.906701270926053,2.3322514059409465,0.35886753308088704,3.581356566256033,5.554740439116093,1.9733838728600595,0.0,0.14540026992402588,5.459119086203453,72.77283509697497,72.62743482705093,1494,86,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.0
UNIP,4.077460346211273,0.31529968967479904,0.36446454451786864,0.8651038747593206,-0.5812623986030758,0.5110515740120563,1494,2.8669274053914853,0.2562433804865354,0.33973995165207704,0.7542338757643395,-0.5338722423240077,0.5090421969189551,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,5.077460346211273,3.8669274053914853,1.358867533080887,4.077460346211273,2.8669274053914853,0.35886753308088704,1.210532940819788,3.7185928131303863,2.5080598723105982,0.0,0.16527076162320337,4.349809454599695,82.7180161924133,82.5527454307901,1494,54,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.0
ISAE,1.5501086737497398,0.17105195733308842,0.2083633620170667,0.8209310680976526,-0.24557710407993494,0.5090421969189551,1494,0.913766019464306,0.1157002105074374,0.19414822592414807,0.5959375109234344,-0.2467447372400714,0.5164099129269927,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.547561112637103,1.913766019464306,1.358867533080887,1.5475611126371032,0.913766019464306,0.35886753308088704,0.6363426542854338,1.1912411406688528,0.554898486383419,0.0,0.08110112830634116,1.340809907941681,40.59111471732375,40.510013589017404,1494,54,1.0,0.0,1.0,0.0,manual_inclusion_rotation,hold_previous_allocation,0.0
SAPR,1.2037349819124463,0.14256864738000918,0.31545389152578335,0.45194765767648315,-0.4666247353964479,0.49296718017414604,1494,0.8080094801547415,0.10505336444350966,0.3120030720093192,0.3367061861505384,-0.5251782002014329,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.2015334484639824,1.8080094801547415,1.358867533080887,1.2015334484639824,0.8080094801547415,0.35886753308088704,0.3957255017577048,0.8448674488315593,0.44914194707385446,0.0,0.04532682425796298,0.8132887874004922,22.68607554111047,22.640748716852507,1494,47,0.5088328919768849,0.49116710802311514,0.5,0.5,manual_inclusion_rotation,hold_previous_allocation,0.0
GGBR,1.055972946052754,0.1292708425383664,0.38563965580152637,0.3352114871840282,-0.6113453844314017,0.5050234427327528,1494,0.9197509139665272,0.11628797221749476,0.36955041060783705,0.3146741794339347,-0.6094617555174373,0.5117213663764233,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.055972946052754,1.9197509139665272,1.358867533080887,1.055972946052754,0.9197509139665272,0.35886753308088704,0.13622203208622685,0.697105412971867,0.5608833808856402,0.0,0.03347391550819705,0.7922768155240724,16.753694711852624,16.720220796344428,1494,23,1.0,0.0,1.0,0.0,balanced_reversion_rotation,hold_previous_allocation,0.04310812542399045
ALUP,0.7015857098352849,0.09380322664720597,0.27608417568726173,0.33976314076567327,-0.37553132380708454,0.5083724045545881,1494,0.6215067599111634,0.08494565330804105,0.2515773319373542,0.3376522544932368,-0.2937336898469447,0.5123911587407903,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.701585709835285,1.6215067599111634,1.358867533080887,0.7015857098352849,0.6215067599111634,0.35886753308088704,0.08007894992412146,0.34271817675439786,0.2626392268302764,0.0,0.07610875514728754,0.765661774345341,38.09243195121742,38.01632319607013,1494,73,0.0,1.0,0.0,1.0,manual_inclusion_rotation,hold_previous_allocation,0.0
BBDC,-0.050276531878829744,-0.008663242965585738,0.34855400872462505,-0.02485480800316983,-0.5283863669726188,0.5016744809109176,1494,-0.09716714601519882,-0.017093778766550494,0.347448202127192,-0.04919806365926422,-0.5415849231990124,0.506363027461487,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.9487746934277425,0.9028328539848012,1.358867533080887,-0.051225306572257545,-0.09716714601519882,0.35886753308088704,0.04689061413636908,-0.4091440649597168,-0.45603467909608586,0.0,0.013157023574084548,-0.2839111436280056,6.585090298829316,6.5719332752552315,1494,19,1.0,0.0,1.0,0.0,balanced_reversion_rotation,hold_previous_allocation,0.2839111436280056
TAEE,1.5193834854867116,0.1686600320619176,0.18722445976496088,0.9008440044300364,-0.1994365108569891,0.5056932350971199,1494,1.480699355368615,0.16561378028452478,0.18571996315893174,0.8917392479924149,-0.2370695965645575,0.5097119892833222,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.5168666188678435,2.480699355368615,1.358867533080887,1.5168666188678435,1.480699355368615,0.35886753308088704,0.03868413011809668,1.1605159524058246,1.121831822287728,0.0,0.18136608035223728,1.634788613740573,90.77372321629474,90.5923571359425,1494,101,0.5009118761604175,0.49908812383958245,0.5,0.5,manual_inclusion_rotation,hold_previous_allocation,0.11103695532247393
PETR,2.463444751448442,0.23310879115137273,0.4233415224831667,0.5506400359313722,-0.6497746132678262,0.521768251841929,1494,2.4435917314510514,0.23191368407270896,0.4231587851126367,0.5480535728709449,-0.6495352459827031,0.522438044206296,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,3.463444751448442,3.4435917314510514,1.358867533080887,2.463444751448442,2.4435917314510514,0.35886753308088704,0.019853019997390753,2.104577218367555,2.0847241983701643,0.0,0.0009482107811604924,0.259484405373468,0.4745794959708265,0.47363128518966596,1494,7,0.5077969189152621,0.49220308108473787,0.51,0.49,passive_tracking,hold_previous_allocation,0.0
ITUB,0.78249076195215,0.1024069744046785,0.2876597691318804,0.3560003357915824,-0.4105492568305482,0.5097119892833222,1494,0.7853345074316334,0.10270343537016458,0.28691649875697656,0.3579558366810974,-0.4089712468206984,0.5110515740120563,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.78249076195215,1.7853345074316334,1.358867533080887,0.78249076195215,0.7853345074316334,0.35886753308088704,-0.002843745479483406,0.4236232288712629,0.4264669743507463,0.0,0.0009596533566746289,-0.02522127399807983,0.48030650501565175,0.47934685165897717,1494,18,0.4933719482302398,0.5066280517697602,0.475,0.525,statistical_fallback_rotation,overweight_pn,0.025221273998079826
