Date,Close,High,Low,Open,Volume
2010-01-06,6.912971019744873,6.918292905323705,6.732030970248121,6.811857731361775,6700
2010-01-07,7.019405364990234,7.019405364990234,6.790569894869318,6.912970203594123,11000
2010-01-08,7.019405364990234,7.019405364990234,6.843787221805931,6.955544268152567,2300
2010-01-11,7.173736572265625,7.173736572265625,6.944901099070586,7.019405459287296,7900
2010-01-12,7.556904315948486,7.652696224492554,7.1737371892951485,7.1737371892951485,12000
2010-01-13,7.493041515350342,7.519650429198486,7.3972496285061515,7.3972496285061515,1400
2010-01-14,7.4717559814453125,7.498364900619933,7.397251109260959,7.498364900619933,1400
2010-01-15,7.301459789276123,7.471756061788198,7.061980529175289,7.471756061788198,13600
2010-01-18,7.083266258239746,7.317423589803409,7.0779443738235,7.317423589803409,16600
2010-01-19,7.061980247497559,7.253563546432052,7.0513364771286335,7.216311365186627,6700
2010-01-20,7.0566582679748535,7.0566582679748535,6.902327152348989,6.950223103323033,12300
2010-01-21,7.04601526260376,7.046015262603759,6.870397094983915,6.923614936848151,2400
2010-01-22,7.008761882781982,7.328067864478152,6.912969986768558,7.051335946005089,30000
2010-01-26,6.7799272537231445,7.040693569437965,6.598987195464544,7.008763269464664,17600
2010-01-27,6.513838768005371,6.652204748581371,6.513838768005372,6.583021758293372,8300
2010-01-28,6.598987102508545,6.716066051648354,6.513838960415216,6.55641303146188,37700
2010-01-29,6.6415605545043945,7.237598508647734,6.545769157339464,6.625595406230724,67000
2010-02-01,6.758639812469482,6.758639812469482,6.620273834157421,6.705422479865338,10700
2010-02-02,6.8065361976623535,6.912971377126693,6.6788139823051464,6.912971377126693,9200
2010-02-03,6.811858177185059,6.854432249556223,6.811858177185059,6.811858177185059,2100
2010-02-04,6.705422878265381,6.747996949887392,6.545769855921354,6.652205034976383,3500
2010-02-05,6.593666076660156,6.593666076660156,6.338221129205273,6.434013047941228,15300
2010-02-08,6.742674350738525,6.742674350738525,6.519160244607299,6.529804015148269,24000
2010-02-09,6.6468825340271,6.700100372391212,6.583021432503917,6.652204419368095,7000
2010-02-10,6.545769691467285,6.646882982148478,6.4925518495153165,6.646882982148478,8100
2010-02-11,6.652204513549805,6.652204513549805,6.386116333007813,6.386116333007813,9300
2010-02-12,6.439333915710449,6.64688236345393,6.3861160787120195,6.64688236345393,13200
2010-02-17,6.545769691467285,6.545769691467284,6.545769691467284,6.545769691467284,300
2010-02-18,6.545769691467285,6.545769691467284,6.428690743686728,6.428690743686728,8900
2010-02-19,6.636239528656006,6.652204677776245,6.465942743789334,6.53512573334096,16300
2010-02-22,6.652204513549805,6.657526398966147,6.598986674432235,6.64156074271712,22600
2010-02-23,6.614952087402344,6.652204268900857,6.614952087402344,6.614952087402344,11400
2010-02-24,6.609630584716797,6.609630584716796,6.5244824463505475,6.5244824463505475,2100
2010-02-25,6.6468825340271,6.6468825340271,6.545769250162789,6.545769250162789,3100
2010-02-26,6.620272636413574,6.620272636413574,6.572377197991998,6.57769857502361,1500
2010-03-01,6.598987102508545,6.598987102508545,6.439334589845033,6.492551924891884,1000
2010-03-02,6.476586818695068,6.60963091849156,6.444656011433806,6.60963091849156,14900
2010-03-03,6.540447235107422,6.540447235107421,6.391438001175241,6.492551283034207,31700
2010-03-04,6.545769691467285,6.545769691467284,6.4925518495153165,6.513838884791513,28400
2010-03-05,6.439333915710449,6.492551245185972,6.412724997211234,6.492551245185972,9200
2010-03-08,6.48723030090332,6.48723030090332,6.332899160250844,6.4393348496853635,8000
2010-03-09,6.497872352600098,6.497872352600098,6.306289075879354,6.386115314298952,13800
2010-03-10,6.476586818695068,6.481908704492439,6.471264932897697,6.476586818695068,4200
2010-03-11,6.449978351593018,6.487230539752878,6.412726163433158,6.487230539752878,100400
2010-03-12,6.503195762634277,6.5404479482986915,6.460621691154099,6.5404479482986915,161000
2010-03-15,6.48723030090332,6.492552186879642,6.4286910777327195,6.48723030090332,112600
2010-03-16,6.465941429138184,6.492550343943768,6.465941429138184,6.465941429138184,229200
2010-03-17,6.465941429138184,6.545768173554939,6.465941429138184,6.465941429138184,318000
2010-03-18,6.476586818695068,6.492551968564217,6.4659430471003265,6.492551968564217,6400
2010-03-19,6.460620403289795,6.535124759766877,6.237106318812821,6.535124759766877,24300
2010-03-22,6.444655895233154,6.444655895233154,6.386116675086459,6.386116675086459,4200
2010-03-23,6.492551326751709,6.492551326751709,6.492551326751709,6.492551326751709,100
2010-03-24,6.455299377441406,6.4659426408444665,6.386116388991249,6.4659426408444665,6400
2010-03-25,6.33289909362793,6.4393347819427325,6.322255829310235,6.391438823705666,14600
2010-03-26,6.380794048309326,6.380794048309326,6.3595070154989335,6.3595070154989335,1600
2010-03-29,6.428690433502197,6.428690433502197,6.322255262256716,6.386116365004005,12100
2010-03-30,6.33289909362793,6.359508015706631,6.231785798756438,6.285003642913839,27800
2010-03-31,6.226463317871094,6.332898488492589,6.226463317871095,6.332898488492589,20700
2010-04-01,6.274359226226807,6.279681111600185,6.109384332312513,6.279681111600185,19700
2010-04-05,6.173245429992676,6.263715443748575,6.088096793646097,6.1359927429901475,11700
2010-04-06,6.247750282287598,6.2477502822875985,6.17324591744528,6.2477502822875985,4400
2010-04-07,6.173245429992676,6.226462756746047,6.045522729234248,6.226462756746047,64400
2010-04-08,6.199854373931885,6.199854373931885,6.077454055079675,6.162602191241721,21300
2010-04-09,6.173245429992676,6.194532462198601,6.173245429992676,6.194532462198601,500
2010-04-12,5.9284443855285645,6.167923627944019,5.6942865205939395,6.008270630492754,40400
2010-04-13,5.960374355316162,5.965696240029525,5.811365136002045,5.8858699994205335,12300
2010-04-14,6.1147050857543945,6.146635884560835,5.859260725394183,6.072131025694359,3300
2010-04-15,6.120027542114258,6.162601606153222,5.997627234882953,6.157279721267632,21400
2010-04-16,6.189210891723633,6.253071991586018,6.034879773508809,6.253071991586018,12400
2010-04-19,6.194533824920654,6.194533824920654,6.114707055945359,6.120028942048311,2600
2010-04-20,6.120027542114258,6.120027542114258,6.0934186252091855,6.0934186252091855,2400
2010-04-22,5.960374355316162,6.098740312726416,5.853939198663221,6.098740312726416,19100
2010-04-23,5.933765888214111,6.066809970976965,5.8965137074478395,5.907157477679859,92600
2010-04-26,5.933765888214111,5.93376588821411,5.891191822331829,5.91247885527297,3900
2010-04-27,5.923123836517334,5.933767101402524,5.77411457546366,5.933767101402524,8800
2010-04-28,5.875227451324463,5.880549337144128,5.875227451324463,5.880549337144128,2000
2010-04-29,5.827330589294434,5.875226539189595,5.7208954270401255,5.73686057449755,20100
2010-04-30,5.843296527862549,5.933766554907965,5.7475051226261336,5.933766554907965,8300
2010-05-03,5.587851524353027,5.720895608266195,5.587851524353027,5.720895608266195,113
2010-05-04,5.7208967208862305,5.731540493280315,5.6197834207574315,5.7208967208862305,44100
2010-05-05,5.800722122192383,5.891192144012957,5.720895871185019,5.720895871185019,6800
2010-05-06,5.6836442947387695,5.768792440236687,5.534634532594433,5.768792440236687,10600
2010-05-07,5.662356853485107,5.827331246710306,5.523990873183173,5.827331246710306,4800
2010-05-10,5.77411413192749,5.790079281790421,5.619782996524602,5.790079281790421,5500
2010-05-11,5.582529544830322,5.614460347739839,5.5399554792995644,5.614460347739839,26300
2010-05-12,5.476094722747803,5.587851778621143,5.3696595522786525,5.587851778621143,23100
2010-05-13,5.497381687164307,5.555920903299644,5.497381687164307,5.508025457837779,15100
2010-05-14,5.582529544830322,5.582529544830322,5.11421431646909,5.3377284142670165,13400
2010-05-17,5.029066562652588,5.316441780303509,4.78958729919731,5.316441780303509,57100
2010-05-18,4.73637056350708,5.2100078228670075,4.736370563507079,5.2100078228670075,51500
2010-05-19,4.789586544036865,4.789586544036865,4.417063247671901,4.688473273639476,39900
2010-05-20,4.73637056350708,4.789588415578281,4.470282318197175,4.470282318197175,15900
2010-05-21,4.8321614265441895,4.842805197615874,4.789587357303328,4.789587357303328,17200
2010-05-24,4.629934310913086,4.816196243157454,4.629934310913086,4.816196243157454,35300
2010-05-25,4.629934310913086,4.629934310913086,4.496890218602234,4.629934310913086,16100
2010-05-26,4.576716899871826,4.725726138593493,4.576716899871826,4.725726138593493,35800
2010-05-27,4.73637056350708,4.76297948954268,4.582039401528257,4.582039401528257,39100
2010-05-28,4.789586544036865,4.789586544036865,4.7363687127606475,4.752334366657225,106200
2010-05-31,4.853448867797852,4.890701054623944,4.784265872604405,4.789587758586127,147900
2010-06-01,4.842804908752441,4.842804908752441,4.762978153045125,4.821517875401739,117500
2010-06-02,4.8321614265441895,4.837483312080032,4.688474069737017,4.789587357303328,40200
2010-06-04,4.8321614265441895,4.8321614265441895,4.8321614265441895,4.8321614265441895,0
2010-06-07,4.73637056350708,4.8374843809377515,4.736370563507079,4.789588415578281,20100
2010-06-08,4.842804908752441,4.869413319798638,4.709760823429824,4.736369234476021,49200
2010-06-09,4.858770370483398,4.858770370483399,4.736369540174586,4.7416914257364775,42300
2010-06-10,4.981170654296875,4.981170654296874,4.789587343274166,4.842805183430831,10500
2010-06-11,5.055675983428955,5.108893828368979,4.949240801071889,4.949240801071889,6000
2010-06-14,5.156789302825928,5.30579906631452,5.055676006015727,5.114215229692897,27700
2010-06-15,5.162110805511475,5.162110805511475,5.055675630582743,5.055675630582743,2100
2010-06-16,5.108893394470215,5.1833977620310066,5.045031782956765,5.103571508923604,23300
2010-06-17,5.108893394470215,5.119536658040497,5.087606359806712,5.119536658040497,4800
2010-06-18,5.172753810882568,5.172753810882568,5.082283798707493,5.108892715380669,4500
2010-06-21,5.082284450531006,5.32176371625803,5.082284450531006,5.199363394395105,19000
2010-06-22,5.311119556427002,5.311119556427002,5.162110325386055,5.167432210518243,81000
2010-06-23,5.48141622543335,5.4814162254333505,5.311119457050094,5.311119457050094,4100
2010-06-24,5.566565036773682,5.566565036773682,5.343050913292442,5.343050913292442,2700
2010-06-25,5.747505187988281,5.747505187988281,5.539956210490327,5.582530281640221,13200
2010-06-28,5.790079116821289,5.933766476539686,5.790079116821289,5.790079116821289,2000
2010-06-29,5.63574743270874,5.63574743270874,5.61446039974618,5.625103662466011,5700
2010-06-30,5.731539249420166,5.731539249420166,5.667677643960922,5.694286561648458,2200
2010-07-01,5.678321361541748,5.853939506123626,5.577207576768615,5.747504343880501,8800
2010-07-02,5.88054895401001,5.901835988378795,5.747504862324366,5.853940034168294,2800
2010-07-05,5.88054895401001,5.880548954010009,5.800722194484863,5.880548954010009,2900
2010-07-06,5.853939056396484,5.896513118022995,5.795399848540745,5.896513118022995,3300
2010-07-07,5.853939056396484,5.880547971793765,5.853939056396484,5.880547971793765,2100
2010-07-08,5.843296527862549,5.843296527862549,5.7475051226261336,5.7475051226261336,2800
2010-07-12,5.848618507385254,5.848618507385254,5.843296621585938,5.843296621585938,1900
2010-07-13,5.837975025177002,5.837975025177002,5.800722333496683,5.800722333496683,200
2010-07-14,5.837975025177002,5.84861828885499,5.704930930303014,5.843296403254524,7600
2010-07-15,5.827330589294434,5.8273305892944345,5.747504344484424,5.747504344484424,1200
2010-07-16,5.827330589294434,5.8273305892944345,5.8273305892944345,5.8273305892944345,0
2010-07-19,5.790079116821289,5.795401002464957,5.694287205327058,5.694287205327058,4000
2010-07-20,5.7208967208862305,5.736861871954356,5.694287797424019,5.736861871954356,3000
2010-07-21,5.742182731628418,5.747504616874074,5.720895698168707,5.720895698168707,2200
2010-07-22,5.822009086608887,5.822009086608888,5.747504721899913,5.747504721899913,8000
2010-07-23,5.822009086608887,5.822009086608888,5.800722052760192,5.800722052760192,400
2010-07-26,5.853939056396484,5.912478264252224,5.827330140999203,5.827330140999203,37400
2010-07-27,5.853939056396484,5.96037421046276,5.848617171812458,5.96037421046276,20000
2010-07-28,5.848618507385254,5.859262278983885,5.848618507385254,5.848618507385254,20500
2010-07-29,5.960374355316162,5.960374355316162,5.800721366575321,5.853939198663221,111800
2010-07-30,5.875227451324463,5.875227451324463,5.806044458237712,5.806044458237712,1000
2010-08-02,6.013592720031738,6.013592720031738,6.008270834847014,6.008270834847014,1000
2010-08-03,5.992306232452393,5.997628118121708,5.891192434827203,5.896514320496519,1800
2010-08-04,6.008272171020508,6.008272171020508,5.827332094684027,5.827332094684027,20400
2010-08-05,6.013592720031738,6.050844901279002,6.013592720031738,6.050844901279002,1700
2010-08-06,6.02423620223999,6.02423620223999,5.971018871023645,5.971018871023645,21700
2010-08-09,6.066810607910156,6.173246291313067,5.907158097851693,5.907158097851693,4700
2010-08-10,6.109384536743164,6.183889411894766,6.00294936332869,6.013593134431607,6000
2010-08-11,6.215819835662842,6.215819835662842,6.008270879618152,6.008270879618152,8100
2010-08-12,6.215819835662842,6.247750131963312,6.215819835662842,6.226463098588695,2600
2010-08-13,6.253072738647461,6.253072738647461,6.029558608664183,6.029558608664183,7300
2010-08-16,6.652204513549805,6.652204513549805,6.2371070940107165,6.2371070940107165,48200
2010-08-17,6.811858177185059,6.859754135483363,6.54576997110379,6.652205152031702,28900
2010-08-18,6.912971019744873,6.918292905323705,6.700100671821013,6.726709592192231,122400
2010-08-19,7.12584114074707,7.173736583451255,6.737352161423043,6.865074357013317,34300
2010-08-20,7.0247273445129395,7.179058457495742,6.923614066706093,7.179058457495742,3500
2010-08-23,7.019405364990234,7.093910231728953,6.91829208854465,7.02472724994076,4800
2010-08-24,6.912971019744873,7.0140848156509135,6.811857731361775,6.865075064581268,7500
2010-08-25,6.944901943206787,7.051337118969664,6.827822996106148,6.827822996106148,12600
2010-08-26,7.0247273445129395,7.163093309952112,7.02472734451294,7.035371114557287,37100
2010-08-27,7.338711261749268,7.344033146630937,7.104553909707478,7.104553909707478,125700
2010-08-30,6.396760940551758,6.396760940551757,6.396760940551757,6.396760940551757,20
2010-08-31,7.338711261749268,7.338711261749268,7.2375979866119415,7.301459082623339,7400
2010-09-01,7.3067803382873535,7.434503035705796,7.242919243339565,7.290815191431123,11800
2010-09-02,7.338711261749268,7.429181274646133,7.338711261749268,7.429181274646133,14700
2010-09-03,7.333390235900879,7.333390235900879,7.210989914421781,7.264207246903719,2800
2010-09-06,7.333390235900879,7.5994784208793735,7.163093959921982,7.338712121405954,8600
2010-09-08,7.312102317810059,7.312102317810059,7.131162292685781,7.131162292685781,1900
2010-09-09,7.184380531311035,7.258885401010654,7.184380531311036,7.237598367885464,1900
2010-09-10,7.1790595054626465,7.1790595054626465,7.1790595054626465,7.1790595054626465,100
2010-09-13,7.014084815979004,7.163094059532677,6.998119159241761,7.003441044820843,1500
2010-09-14,7.077946186065674,7.152450556877937,7.077946186065674,7.125842143029535,1500
2010-09-15,7.0247273445129395,7.030049229535114,7.02472734451294,7.030049229535114,1300
2010-09-16,7.184380531311035,7.280172434135845,7.077945365685083,7.077945365685083,1900
2010-09-17,7.1790595054626465,7.1790595054626465,7.131163548317228,7.131163548317228,1100
2010-09-20,7.173736572265625,7.173736572265625,7.1577714247224575,7.1577714247224575,200
2010-09-21,7.104554653167725,7.109876031083376,7.104554653167725,7.109876031083376,700
2010-09-22,6.732029914855957,6.732029914855957,6.732029914855957,6.732029914855957,41
2010-09-23,7.397252082824707,7.397252082824707,7.141807643183923,7.141807643183923,12300
2010-09-24,7.461112022399902,7.498364201256152,7.397250419327944,7.397250419327944,800
2010-09-27,7.397252082824707,7.4291828915412985,7.242920940327653,7.242920940327653,7300
2010-09-28,7.450469017028809,7.503686855873899,7.397251178183719,7.397251178183719,7200
2010-09-29,7.391930103302002,7.519652312737856,7.359999297181566,7.359999297181566,42100
2010-09-30,7.450469017028809,7.578191221229515,7.391929800317549,7.450469017028809,7300
2010-10-01,7.556904315948486,7.556904315948486,7.450469143967818,7.450469143967818,12500
2010-10-04,7.6686601638793945,7.6686601638793945,7.535616093007031,7.610120955403782,12500
2010-10-05,7.716557025909424,7.716557025909424,7.684626221802475,7.689948107074119,7200
2010-10-06,7.610121250152588,7.716556409468266,7.583512333442951,7.716556409468266,1800
2010-10-07,7.604799270629883,7.604799270629882,7.604799270629882,7.604799270629882,200
2010-10-08,7.764452934265137,7.764452934265138,7.556903977554561,7.604799929681841,7100
2010-10-11,7.716557025909424,7.82299219372773,7.716557025909424,7.769774863580033,5900
2010-10-13,8.089080810546875,8.089080810546875,7.769775289584925,7.769775289584925,30600
2010-10-14,8.195513725280762,8.195513725280762,8.05182640733299,8.05182640733299,12900
2010-10-15,8.301952362060547,8.301952362060547,8.035864151834543,8.041185530321595,9500
2010-10-18,8.13697624206543,8.195515456928163,8.067793256760613,8.195515456928163,29900
2010-10-19,7.929427146911621,8.136976099181549,7.929427146911621,8.136976099181549,4200
2010-10-20,8.301952362060547,8.301952362060547,7.972002534760075,7.972002534760075,8700
2010-10-21,8.248734474182129,8.461604838248604,8.248734474182129,8.248734474182129,2700
2010-10-22,8.003933906555176,8.041186096200995,8.003933906555176,8.041186096200995,1600
2010-10-25,8.131654739379883,8.222124762301918,7.982645498841267,8.222124762301918,3900
2010-10-26,8.131654739379883,8.131654739379883,8.131654739379883,8.131654739379883,0
2010-10-27,7.977323055267334,8.13165417048017,7.977323055267335,7.9826449403664075,6200
2010-10-28,7.977323055267334,7.977323055267335,7.977323055267335,7.977323055267335,0
2010-10-29,8.238090515136719,8.238090515136719,8.131655335520541,8.131655335520541,1500
2010-11-01,8.222124099731445,8.243411132378714,8.222124099731445,8.243411132378714,2100
2010-11-03,8.222124099731445,8.222124099731445,8.126332706580184,8.222124099731445,8500
2010-11-04,8.434995651245117,8.434995651245117,8.184872615720973,8.222124799141806,24600
2010-11-05,8.301952362060547,8.408387544646352,8.195516671951758,8.408387544646352,7300
2010-11-08,8.301952362060547,8.301952362060547,8.301952362060547,8.301952362060547,2200
2010-11-09,8.301952362060547,8.301952362060547,8.259378289026225,8.259378289026225,2300
2010-11-10,8.195513725280762,8.514819665755722,8.195513725280762,8.29662749302438,22600
2010-11-11,8.248734474182129,8.301952318960238,8.248734474182129,8.301952318960238,300
2010-11-12,8.248734474182129,8.248734474182129,8.248734474182129,8.248734474182129,0
2010-11-16,8.248734474182129,8.248734474182129,8.248734474182129,8.248734474182129,0
2010-11-17,8.24341106414795,8.24341106414795,8.24341106414795,8.24341106414795,22100
2010-11-18,8.3817777633667,8.3817777633667,8.248733671884688,8.248733671884688,3700
2010-11-19,8.477569580078125,8.477569580078125,8.355168753324755,8.355168753324755,4200
2010-11-22,8.488212585449219,8.488212585449219,8.472247437235344,8.472247437235344,1000
2010-11-23,8.397743225097656,8.397743225097656,8.397743225097656,8.397743225097656,100
2010-11-24,8.488212585449219,8.488212585449219,8.355168499446807,8.392421188643063,23700
2010-11-25,8.488212585449219,8.488212585449219,8.488212585449219,8.488212585449219,3500
2010-11-26,8.142298698425293,8.211481688582928,8.142298698425293,8.211481688582928,800
2010-11-29,8.01457691192627,8.06247236223217,7.902819846166559,7.929428260495513,1300
2010-11-30,8.301952362060547,8.301952362060547,8.089081489365952,8.089081489365952,800
2010-12-01,8.408385276794434,8.408385276794434,8.328558530743164,8.397741507645126,2200
2010-12-02,8.456282615661621,8.456282615661621,8.32855990244836,8.38177774191413,1500
2010-12-03,8.408385276794434,8.461602599972434,8.301950122915587,8.461602599972434,2000
2010-12-06,8.408385276794434,8.408385276794434,8.408385276794434,8.408385276794434,0
2010-12-07,8.408385276794434,8.408385276794434,8.408385276794434,8.408385276794434,0
2010-12-08,8.195513725280762,8.195513725280762,8.163583435746947,8.163583435746947,200
2010-12-09,8.195513725280762,8.195513725280762,8.195513725280762,8.195513725280762,0
2010-12-10,8.355167388916016,8.355167388916016,8.222123320597216,8.222123320597216,700
2010-12-13,8.408385276794434,8.456281222920627,8.408385276794434,8.456281222920627,200
2010-12-14,8.408385276794434,8.408385276794434,8.408385276794434,8.408385276794434,0
2010-12-15,8.339202880859375,8.43499477978529,8.195515032470501,8.408385862581104,2200
2010-12-16,8.488212585449219,8.488212585449219,8.408386336856935,8.408386336856935,13800
2010-12-17,8.701083183288574,8.72769159372371,8.514821265105239,8.514821265105239,25500
2010-12-20,8.573362350463867,8.669154267347746,8.573362350463867,8.578684236406966,2000
