,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,0.0,0.21000000000000002,0.20979010494752626,0.0002098950524737631
2020-01-03,0.0,0.0,0.0,0.0
2020-01-06,0.004184518311070758,0.09416452830607328,0.09407041083650197,9.411746957128762e-05
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,5.551115123125783e-18,0.024987506246876567,0.02496253122813906,2.4975018737507813e-05
2020-01-10,-0.00033238376997874906,0.004592935807375786,0.0045883451668886546,4.590640487132221e-06
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0
2020-01-17,0.006366994596298884,0.036366994596298885,0.036330645776112676,3.634882018620578e-05
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0005516110345307621,0.0025363285073167407,0.0025337934463399124,2.5350609768283266e-06
2020-01-22,0.00214662788857082,0.03531195077662715,0.03527665647300234,3.529430362481475e-05
2020-01-23,-0.00030667932723726254,0.03496997714576507,0.03493502464486976,3.495250089531742e-05
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0011067847388162608,0.03759049147925512,0.03755291977362868,3.7571705626441904e-05
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0001651537320347707,0.03421532749849782,0.03418112927011352,3.419822838430567e-05
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,0.0001299203234380275,0.002482756383643361,0.0024802748680175304,2.4815156258304456e-06
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.002089649093523313,0.02707715534039988,0.027050091716871234,2.7063623528635562e-05
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,-1.2470483920095851e-05,0.002540810742596789,0.0025382712016246783,2.5395409721107334e-06
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,0.00017536960384720112,0.0016286090659915849,0.0016269812708231775,1.6277951684073813e-06
2020-02-27,-0.012972740772315992,0.05345420292518479,0.053400775436004196,5.34274891805945e-05
2020-02-28,-0.0033393837951051775,0.020201188749273104,0.020180997656070433,2.019109320267177e-05
2020-03-02,-0.0010751151819153207,0.055438004636866794,0.05538259433737967,5.541029948712324e-05
2020-03-03,-0.0022009344060167193,0.02108216335240297,0.021061091724864332,2.107162753863365e-05
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0031952755566151737,0.0533214020335949,0.05326810727893864,5.329475465626677e-05
2020-03-09,-0.00031028140792258447,0.003361932539201168,0.0033585722867881707,3.3602524129946695e-06
2020-03-10,-0.002494983644179319,0.04235741257655508,0.04231507633210074,4.233624445432791e-05
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,-0.00014056515909211808,0.001760628850271706,0.001758869101295922,1.7597489757838142e-06
2020-03-16,-0.0015765108749247168,0.001171864082608749,0.001170692804165362,1.1712784433870555e-06
2020-03-17,-0.0012444865761440994,0.023792352550979036,0.02376857208865922,2.378046231981913e-05
2020-03-18,-0.0033011449138849653,0.023876696250914067,0.023852831487045086,2.3864763868979575e-05
2020-03-19,-0.0028536263695724765,0.024082724842880356,0.024058654153382226,2.4070689498131294e-05
2020-03-20,0.00033124096989089194,0.023328267293814986,0.023304950684825666,2.331660898932033e-05
