company,policy_group,min_weight_on,max_weight_on,entry_threshold,exit_threshold,signal_window,allow_tax_loss_harvesting,explanation
BBDC,balanced_reversion_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
BRAP,strable_pair_tracking,0.49,0.51,4.0,0.1,252,True,High-quality stable pair. The strategy remains controlled and reacts only to stronger deviations.
CMIG,passive_tracking,0.49,0.51,3.0,1.0,252,True,Strong ON/PN relation but weak mean-reversion evidence. The strategy preserves company-level exposure and remains very close to the passive 50/50 allocation.
GGBR,balanced_reversion_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
GOAU,balanced_reversion_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
ITUB,statistical_fallback_rotation,0.475,0.525,1.5,1.0,252,True,"Company passed the hard statistical filters, but the evidence was not strong enough for a more aggressive rule. The strategy uses a defensive rotation band around the passive 50/50 benchmark."
OIBR,balanced_reversion_rotation,0.0,1.0,1.5,0.5,252,True,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.
PETR,passive_tracking,0.49,0.51,3.0,1.0,252,True,Strong ON/PN relation but weak mean-reversion evidence. The strategy preserves company-level exposure and remains very close to the passive 50/50 allocation.
TASA,full_reversion_rotation,0.0,1.0,1.0,0.5,252,True,Strong reversion evidence and high spread opportunity. The strategy is allowed to rotate actively between ON and PN.
