pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
ITUB,True,,2468,0.0,2468,0.8691438008880092,0.0634345140273954,0.35702424920688447,0.16520715435704125,449049.278363047,22240114.19286872,449049.278363047,0.8691438008880092,0.15,0.4,0.45,1.0,0.5457431402664028,True
ISAE,False,Correlation below minimum threshold,2468,0.0,2468,0.2421119967077881,0.19737252927433427,0.6917073192381109,0.35843186602158306,1333.546191247974,1267897.8051053484,1333.546191247974,0.2421119967077881,0.15,0.15,1.0,1.0,,False
ALUP,False,Correlation below minimum threshold,799,0.0,799,0.03098165090002018,0.14207863919852556,0.04034481815667855,0.0026623356889808533,18829.454317897373,12595.932415519399,12595.932415519399,0.03098165090002018,0.85,1.0,1.0,0.32374392220421394,,False
PETR,True,,2468,0.0,2468,0.9375381634378659,0.09120621187519404,0.5388664833234934,0.3196086522515986,10485188.828606158,41315910.10656402,10485188.828606158,0.9375381634378659,0.15,0.15,0.75,1.0,0.5612614490313598,True
SAPR,False,Correlation below minimum threshold,2468,0.0,2468,0.0483195628228723,0.6807860656085253,0.47390571318727936,0.19781350732397218,34866.84116693679,1608092.744732577,34866.84116693679,0.0483195628228723,0.15,0.4,0.65,1.0,,False
BBDC,True,,2468,0.0,2468,0.8391135580282855,0.11996546267144113,0.1714762254160297,0.052584517305755224,3112591.8537277146,19127833.776742302,3112591.8537277146,0.8391135580282855,0.4,0.65,0.75,1.0,0.6942340674084856,True
GGBR,True,,2468,0.0,2468,0.8345490073450648,0.08404055769892536,0.07662011747481003,0.023563743192992048,278914.2670178282,10976840.985008104,278914.2670178282,0.8345490073450648,0.65,0.85,0.75,1.0,0.7953647022035194,True
UNIP,False,Correlation below minimum threshold,2468,0.0,2468,0.3168296101597694,0.19494107048675677,0.00013182965199976267,0.03461555384228115,8477.388168557536,248300.4635332253,8477.388168557536,0.3168296101597694,1.0,0.85,1.0,1.0,,False
TAEE,False,Correlation below minimum threshold,653,0.0,653,0.09141503507112578,0.06909632001957225,0.0007106029705847873,9.025868408544209e-05,4313.323124042879,8006.584992343032,4313.323124042879,0.09141503507112578,1.0,1.0,0.45,0.2645867098865478,,False
RAPT,False,Correlation below minimum threshold,2468,0.0,2468,0.36514042335501223,0.09805600964799949,0.0003667231811042383,0.0019390599740733436,7200.676256077796,1528640.923419773,7200.676256077796,0.36514042335501223,1.0,1.0,0.75,1.0,,False
BTG,False,Correlation below minimum threshold,859,0.0,859,0.12487708244001659,0.18416207517531344,0.018032596095726442,0.08942606246957707,1536.4062863795111,1790.919674039581,1536.4062863795111,0.12487708244001659,0.85,0.65,1.0,0.3480551053484603,,False
